Pos,,,Pld,W,D,L,GF,GA,GD,Pts,
1,"/img/teams/man-c.png","Man. City",38,29,6,3,99,26,73,93,
2,"/img/teams/liverpool.png",Liverpool,38,28,8,2,94,26,68,92,
3,"/img/teams/chelsea.png",Chelsea,38,21,11,6,76,33,43,74,
4,"/img/teams/spurs.png",Tottenham,38,22,5,11,69,40,29,71,
5,"/img/teams/arsenal.png",Arsenal,38,22,3,13,61,48,13,69,
6,"/img/teams/man-u.png","Man. Utd",38,16,10,12,57,57,0,58,
7,"/img/teams/west-ham.png","West Ham",38,16,8,14,60,51,9,56,
8,"/img/teams/leicester.png",Leicester,38,14,10,14,62,59,3,52,
9,"/img/teams/brighton.png",Brighton,38,12,15,11,42,44,-2,51,
10,"/img/teams/wolves.png",Wolves,38,15,6,17,38,43,-5,51,
11,"/img/teams/newcastle.png",Newcastle,38,13,10,15,44,62,-18,49,
12,"/img/teams/crystal-pal.png","Crystal Pal",38,11,15,12,50,46,4,48,
13,"/img/teams/brentford.png",Brentford,38,13,7,18,48,56,-8,46,
14,"/img/teams/avfc.png",Villa,38,13,6,19,52,54,-2,45,
15,"/img/teams/southampton.png",Southampton,38,9,13,16,43,67,-24,40,
16,"/img/teams/everton.png",Everton,38,11,6,21,43,66,-23,39,
17,"/img/teams/leeds.png",Leeds,38,9,11,18,42,79,-37,38,
18,"/img/teams/burnley.png",Burnley,38,7,14,17,34,53,-19,35,R
19,"/img/teams/watford.png",Watford,38,6,5,27,34,77,-43,23,R
20,"/img/teams/norwich.png",Norwich,38,5,7,26,23,84,-61,22,R
