Pos,,,Pld,W,D,L,GF,GA,GD,Pts,
1,"/img/teams/man-c.png","Man. City",38,27,5,6,83,32,51,86,
2,"/img/teams/man-u.png","Man. Utd",38,21,11,6,73,44,29,74,
3,"/img/teams/liverpool.png",Liverpool,38,20,9,9,68,42,26,69,
4,"/img/teams/chelsea.png",Chelsea,38,19,10,9,58,36,22,67,
5,"/img/teams/leicester.png",Leicester,38,20,6,12,68,50,18,66,
6,"/img/teams/west-ham.png","West Ham",38,19,8,11,62,47,15,65,
7,"/img/teams/spurs.png",Tottenham,38,18,8,12,68,45,23,62,
8,"/img/teams/arsenal.png",Arsenal,38,18,7,13,55,39,16,61,
9,"/img/teams/leeds.png",Leeds,38,18,5,15,62,54,8,59,
10,"/img/teams/everton.png",Everton,38,17,8,13,47,48,-1,59,
11,"/img/teams/avfc.png",Villa,38,16,7,15,55,46,9,55,
12,"/img/teams/newcastle.png",Newcastle,38,12,9,17,46,62,-16,45,
13,"/img/teams/wolves.png",Wolves,38,12,9,17,36,52,-16,45,
14,"/img/teams/crystal-pal.png","Crystal Pal",38,12,8,18,41,66,-25,44,
15,"/img/teams/southampton.png",Southampton,38,12,7,19,47,68,-21,43,
16,"/img/teams/brighton.png",Brighton,38,9,14,15,40,46,-6,41,
17,"/img/teams/burnley.png",Burnley,38,10,9,19,33,55,-22,39,
18,"/img/teams/fulham.png",Fulham,38,5,13,20,27,53,-26,28,R
19,"/img/teams/west-brom.png","West Brom",38,5,11,22,35,76,-41,26,R
20,"/img/teams/sheff-u.png","Sheff. Utd",38,7,2,29,20,63,-43,2,R
