Pos,,,Pld,W,D,L,GF,GA,GD,Pts,
1,"/img/teams/liv48.png",Liverpool,38,32,3,3,85,33,52,99,
2,"/img/teams/manc48.png","Man. City",38,26,3,9,102,35,67,81,
4,"/img/teams/manu48.png","Man. Utd",38,18,12,8,66,36,30,66,
3,"/img/teams/chels48.png",Chelsea,38,20,6,12,69,54,15,66,
5,"/img/teams/leic48.png",Leicester,38,18,8,12,67,41,26,62,
7,"/img/teams/spurs48.png",Tottenham,38,16,11,11,61,47,14,59,
6,"/img/teams/wwfc48.png",Wolves,38,15,14,9,51,40,11,59,
8,"/img/teams/ars48.png",Arsenal,38,14,14,10,56,48,8,56,
9,"/img/teams/sheffu48.png","Sheff. Utd",38,14,12,12,39,39,0,54,
10,"/img/teams/burn48.png",Burnley,38,15,9,14,43,50,-7,54,
12,"/img/teams/south48.png",Southampton,38,15,7,16,51,60,-9,52,
14,"/img/teams/efc48.png",Everton,38,13,10,15,44,56,-12,49,
13,"/img/teams/newc48.png",Newcastle,38,11,11,16,38,58,-20,44,
11,"/img/teams/cpfc48.png","Crystal Palace",38,11,10,17,31,50,-19,43,
15,"/img/teams/bright48.png",Brighton,38,9,14,15,39,54,-15,41,
16,"/img/teams/wham48.png","West Ham",38,10,9,19,49,62,-13,39,
17,"/img/teams/avfc48.png",Villa,38,9,8,21,41,67,-26,35,
18,"/img/teams/bmth48.png",Bournemouth,38,9,7,22,40,65,-25,34,R
19,"/img/teams/wford48.png",Watford,38,8,10,20,36,64,-28,34,R
20,"/img/teams/norw48.png",Norwich,38,5,6,27,26,75,-49,21,R
