Pos,,,Pld,W,D,L,GF,GA,GD,Pts,
1,"/img/teams/man-c.png","Man. City",38,28,5,5,94,33,+61,89,
2,"/img/teams/arsenal.png",Arsenal,38,26,6,6,88,43,+45,84,
3,"/img/teams/man-u.png","Man. Utd",38,23,6,9,58,43,+15,75,
4,"/img/teams/newcastle.png",Newcastle,38,19,14,5,68,33,+35,71,
5,"/img/teams/liverpool.png",Liverpool,38,19,10,9,75,47,+28,67,
6,"/img/teams/brighton.png",Brighton,38,18,8,12,72,53,+19,62,
7,"/img/teams/avfc.png",Aston Villa,38,18,7,13,51,46,+5,61,
8,"/img/teams/spurs.png",Tottenham,38,18,6,14,70,63,+7,60,
9,"/img/teams/brentford.png",Brentford,38,15,14,9,58,46,+12,59,
10,"/img/teams/fulham.png",Fulham,38,15,7,16,55,53,+2,52,
11,"/img/teams/crystal-pal.png","Crystal Pal",38,11,12,15,40,49,-9,45,
12,"/img/teams/chelsea.png",Chelsea,38,11,11,16,38,47,-9,44,
13,"/img/teams/wolves.png",Wolverhampton,38,11,8,19,31,58,-27,41,
14,"/img/teams/west-ham.png","West Ham",38,11,7,20,42,55,-13,40,
15,"/img/teams/bournemouth.png",Bournemouth,38,11,6,21,37,71,-34,39,
16,"/img/teams/nottm-f.png","Nottm For",38,9,11,18,38,68,-30,38,
17,"/img/teams/everton.png",Everton,38,8,12,18,34,57,-23,36,
18,"/img/teams/leicester.png",Leicester,38,9,7,22,51,68,-17,34,R
19,"/img/teams/leeds.png",Leeds,38,7,10,21,48,78,-30,31,R
20,"/img/teams/southampton.png",Southampton,38,6,7,25,36,73,-37,25,R
