,Player,To,Fee,Date
"/img/countries/england.svg","Tim Iroegbunam","Everton","€10,700,000",22/06/2024
"/img/countries/england.svg","Omari Kellyman","Chelsea","€22,500,000",29/06/2024
"/img/countries/italy.svg","Nicolò Zaniolo","Galatasaray","End of Loan",30/06/2024
"/img/countries/france.svg","Clément Lenglet","Barcelona","End of Loan",30/06/2024
"/img/countries/france.svg","Morgan Sansom",Nice,"€4,000,000",01/07/2024
"/img/countries/brazil.svg","Douglas Luiz","Juventus","€51,500,000",01/07/2024
"/img/countries/england.svg","Tommi O'Reilly","Shrewsbury","Loan",11/07/2024
"/img/countries/brazil.svg","Philippe Coutinho","Vasco da Gama","Loan",12/07/2024
"/img/countries/England.svg","Calum Chambers","Cardiff","Free",14/07/2024
"/img/countries/england.svg","Sebastian Revan","Wrexham","Undisclosed",15/07/2024
"/img/countries/finland.svg","Viljami Sinisalo","Celtic","€1,200,000",16/07/2024
"/img/countries/poland.svg","Filip Marschall","Crewe","Loan",19/07/2024
"/img/countries/france.svg","Moussa Diaby","Al-itihad","€60,000,000",24/07/2024
"/img/countries/england.svg","Ben Chrisene","Norwich","Undiscosed",30/07/2024
"/img/countries/england.svg","Louis Barry","Stockport","Loan",02/08/2024
"/img/countries/england.svg","Lewis Dobbin","West Brom","Loan",06/08/2024
"/img/countries/england.svg","Josh Feeney","Shrewsbury","Loan",06/08/2024
"/img/countries/england.svg","Kaine Kesler-Hayden","Preston","Loan",07/08/2024
"/img/countries/england.svg","Lino Sousa","Briston Rovers","Loan",14/08/2024
"/img/countries/england.svg","Cameron Archer","Southampton","€17,600,000",16/08/2024
"/img/countries/spain.svg","Alex Moreno","Nottm. Forest","Loan",21/08/2024
"/img/countries/england.svg","Samuel Iling-Junior","Bologna","Loan",27/08/2024
