,Player,From,Fee,Date
"/img/countries/england.svg","Lewis Dobbin","Everton","€11,800,000",23/06/2024
"/img/countries/netherlands.svg","Ian Maatsen","Chelsea","€44,500,000",28/06/2024
"/img/countries/france.svg","Morgan Sansom","Nice","End of Loan",30/06/2024
"/img/countries/serbia.svg","Kosta Nedeljkovic","Red Star Belgrade","End of Loan",30/06/2024
"/img/countries/brazil.svg","Philippe Coutinho","Al-Duhail","End of Loan",30/06/2024
"/img/countries/belgium.svg","Leander Dendoncker","Napoli","End of Loan",30/06/2024
"/img/countries/england.svg","Samuel Iling-Junior","Juventus","€14,000,000",01/07/2024
"/img/countries/argentina.svg","Enzo Barrenchea","Juventus","€8,000,000",01/07/2024
"/img/countries/england.svg","Ross Barkley","Luton","€5,900,000",01/07/2024
"/img/countries/norway.svg","Ethan Amundsen-Day","FC Copenhagen","€50,000",01/07/2024
"/img/countries/england.svg","Cameron Archer","Sheff. Utd","Free",11/07/2024
"/img/countries/england.svg","Jadon Philogene","Hull","€16,000,000",19/07/2024
"/img/countries/belgium.svg","Amadou Onana","Everton","€59,350,000",22/07/2024
"/img/countries/england.svg","Lewis Dobbin","West Brom","End of Loan",02/01/2025
"/img/countries/netherlands.svg","Donyell Malen","Bor. Dortmond","€25,000,000",14/02/2025
"/img/countries/spain.svg","Andrés García","Levante","€7,000,000",21/01/2025
"/img/countries/england.svg","Marcus Rashford","Man. Utd","Loan",02/03/2025
"/img/countries/france.svg","Axel Disasi","Chelsea","Loan (fee €6,000,000)",03/02/2025
"/img/countries/spain.svg","Marco Asensio","PSG","Loan",03/03/2025
"/img/countries/england.svg","Samuel Iling-Junior","Bologna","End of Loan",03/02/2025
