,Player,From,Fee,Date
"/img/countries/spain.svg",Jota,Birmingham,"£4,000,000",05/06/2019
"/img/countries/netherlands.svg","Anwar El Ghazi",Lille,Undisc.,10/06/2019
"/img/countries/brazil.svg",Wesley,"Club Brugge","£22,000,000",13/06/2019
"/img/countries/england.svg","Kortney Hause",Wolves,"£3,000,000",17/06/2019
"/img/countries/england.svg","Matt Targett",Southampton,"£15,600,000",01/07/2019
"/img/countries/england.svg","Tyrone Mings",Bournemouth,"£20,000,000",08/07/2019
"/img/countries/england.svg","Ezri Konsa",Brentford,"£12,000,000",11/07/2019
"/img/countries/belgium.svg","Bjorn Engels",Reims,"£7,200,000",16/07/2019
"/img/countries/england.svg",Trezeguet,Kasimpasa,"£8,750,000",24/07/2019
"/img/countries/brazil.svg","Douglas Luiz","Man. City","£15,000,000",25/07/2019
"/img/countries/zimbabwe.svg","Marvelous Nakamba","Club Brugge","£11,000,000",01/08/2019
"/img/countries/england.svg","Tom Heaton",Burnley,"£8,000,000",01/08/2019
"/img/countries/england.svg","Danny Drinkwater",Chelsea,Loan,07/01/2020
"/img/countries/spain.svg","Pepe Reina","AC Milan",Loan,13/01/2020
"/img/countries/tanzania.svg","Mbwana Samatta",Genk,"£8,500,000",20/01/2020
"/img/countries/england.svg","Louie Barry",Barcelona,"£883,000",23/01/2020
"/img/countries/spain.svg","Borja Bastón",Swansea,Free,31/01/2020
