,Player,To,Fee,Date
"/img/countries/france.svg","Jordan Amavi",Marseille,"£9,000,000",01/07/2018
"/img/countries/italy.svg","Pierluigi Gollini",Atalanta,"£3,420,000",01/07/2018
"/img/countries/spain.svg","Carles Gil","Deportivo La Coruna","£1,580,000",01/07/2018
"/img/countries/england.svg","Gabriel Agbonlahor",,Released,01/07/2018
"/img/countries/england.svg","John Terry",,Released,01/07/2018
"/img/countries/republic-of-the-congo.svg","Christopher Samba",,Released,01/07/2018
"/img/countries/england.svg","Gary Gardner",Birmingham,Loan,09/08/2018
"/img/countries/england.svg","Jed Steer","Charlton Ath.",Loan,10/08/2018
"/img/countries/wales.svg","Mitchell Clarke","Port Vale",Loan,16/08/2018
"/img/countries/england.svg","Aaron Tshibola",Kilmarnock,Loan,29/08/2018
"/img/countries/england.svg","Andre Green",Portsmouth,Loan,29/08/2018
"/img/countries/australia.svg","Jordan Lyden","Oldham Ath.",Loan,31/08/2018
"/img/countries/england.svg","Tommy Elphick","Hull City",Loan,31/08/2018
"/img/countries/belgium.svg","Ritchie De Laet","Melbourne City",Loan,14/09/2018
"/img/countries/scotland.svg","Ross McCormack","Central Coast",Loan,19/09/2018
"/img/countries/england.svg","Jacob Bedeau",Scunthorpe,Free,03/01/2019
"/img/countries/scotland.svg","Ross McCormack",Motherwell,Loan,05/01/2019
"/img/countries/england.svg","Rushian Hepburn-Murphy","Cambridge Utd",Loan,11/01/2019
"/img/countries/democratic-republic-of-congo.svg","Yannick Bolasie",Everton,"End of Loan",21/01/2019
"/img/countries/portugal.svg","Andre Moreira","Athletico Madrid","End of Loan",22/01/2019
"/img/countries/england.svg","Calum O'Hare","Carlisle Utd",Loan,29/01/2019
"/img/countries/france.svg","Frederick Guilbert",Caen,Loan,31/01/2019
"/img/countries/ireland.svg","Scott Hogan","Sheff Utd",Loan,31/01/2019
"/img/countries/england.svg","James Bree",Ipswich,Loan,31/01/2019
"/img/countries/australia.svg","Jordan Lyden",,Released,18/03/2019
"/img/countries/england.svg","Tom Carroll",Swansea,"End of Loan",04/03/2019
"/img/countries/wales.svg","Mitchell Clarke",,Released,03/05/2019
"/img/countries/england.svg","Kortney Hause",Wolves,"End of Loan",31/05/2019
"/img/countries/england.svg","Tammy Abraham",Chelsea,"End of Loan",31/05/2019
"/img/countries/england.svg","Axel Tuanzebe","Man. Utd","End of Loan",31/05/2019
"/img/countries/england.svg","Tyrone Mings",Bournemouth,"End of Loan",31/05/2019
