,Player,From,Fee,Date
"/img/countries/argentina.svg",Emiliano Buendia,Bayer Leverkusen,"End of Loan",30/06/2025
"/img/countries/argentina.svg",Enzo Barrenechea,Valencia,"End of Loan",30/06/2025
"/img/countries/england.svg",Samuel Iling-junior,Middlesborough,"End of Loan",30/06/2025
"/img/countries/spain.svg",Alex Moreno,Nottm Forest,"End of Loan",30/06/2025
"/img/countries/brazil.svg",Philippe Coutinho,Vasco da Gama,"End of Loan",30/06/2025
"/img/countries/belgium.svg",Leander Dendoncker,Anderlecht,"End of Loan",30/06/2025
"/img/countries/england.svg",Kaine Kesler-Hayden,Preston,"End of Loan",30/06/2025
"/img/countries/england.svg",Lewis Dobbin,Norwich,"End of Loan",30/06/2025
"/img/countries/australia.svg",Joe Gauci,Barnsley,"End of Loan",30/06/2025
"/img/countries/poland.svg",Filip Marschall,Crewe Alexander,"End of Loan",30/06/2025
"/img/countries/turkey.svg",Yasin Özcan,Kasimpasa,"€7,000,000",01/07/2025
"/img/countries/netherlands.svg",Zepiqueno Redmond,Feyenoord,"Free Agent",01/07/2025
"/img/countries/netherlands.svg",Marco Bizot,Brest,"Undisc.",15/07/2025
"/img/countries/ivory-coast.svg",Evanne Guessand,OGC Nice,"€30,000,000",30/06/2025
