,Player,To,Fee,Date
"/img/countries/england.svg","Arjhan Raikhy",Leicester,"Free",01/07/2023
"/img/countries/england.svg","Kaine Kesler-Hayden","Plymouth","Loan",01/07/2023
"/img/countries/england.svg","Caleb Chukwuemeka",,"Released",01/07/2023
"/img/countries/england.svg","Ashley Young",Everton,"Free",13/07/2023
"/img/countries/finland.svg","Viljami Sinisalo","Exeter City","Loan",19/07/2023
"/img/countries/england.svg","Marvelous Nakamba","Luton Town","€2,900,000",20/07/2023
"/img/countries/france.svg","Morgan Sansom",Nice,"Loan",24/07/2023
"/img/countries/brazil.svg","Wesley Moraes",Leicester,"Not Disclosed",28/07/2023
"/img/countries/england.svg","Louie Barry","Stockport","Loan",28/07/2023
"/img/countries/england.svg","Finn Azaz","Plymouth","Loan",02/08/2023
"/img/countries/netherlands.svg","Lamare Bogarde","Bristol Rovers","Loan",18/08/2023
"/img/countries/england.svg","Aaron Ramsey","Burnley","€16,500,000",22/08/2023
"/img/countries/england.svg","Ruben Shapoke","West Brom","Free",24/08/2023
"/img/countries/england.svg","Cameron Archer","Sheff. Utd","€21,600,000",27/08/2023
"/img/countries/england.svg","Jaden Philogene","Hull City","€5,800,000",01/09/2023
"/img/countries/england.svg","Keinan Davis","Udinese","€2,300,000",01/09/2023
"/img/countries/england.svg","Chisom Afoka","Bradford","Loan",01/09/2023
"/img/countries/england.svg","Sebastian Revan","Rotherham","Loan",01/09/2023
"/img/countries/poland.svg","Oliwier Zych","Puszcza Niepolomice","Loan",04/09/2023
"/img/countries/brazil.svg","Philippe Coutinho","Al Duhail","Loan",08/09/2023
"/img/countries/scotland.svg","Kerr Smith","St. Johnstone","Loan",02/01/2024
"/img/countries/england.svg","Finn Azaz","Middlesborough","€2,900,000",05/01/2024
"/img/countries/england.svg","Ben Chrisene","Blackburn","Loan",05/01/2024
"/img/countries/england.svg","Edward Rowe","Gloucester City","Loan",12/01/2024
"/img/countries/england.svg","Rico Richards","Stockport","Loan",18/01/2024
"/img/countries/poland.svg","Filip Marschall","MK Dons","Loan",19/01/2024
"/img/countries/serbia.svg","Kosta Nedeljkovic","Red Star Belgrade","Loan",23/01/2024
"/img/countries/belgium.svg","Leander Dendoncker","Napoli","Loan",26/01/2024
"/img/countries/burkina-faso.svg","Bertrand Traoré","Villarreal","Free",01/02/2024
"/img/countries/england.svg","Josh Feeny","Real Union","Loan",01/02/2024
"/img/countries/england.svg","Tommi O'Reilly","Real Union","Loan",01/02/2024
"/img/countries/england.svg","Lino Sousa","Plymouth","Loan",01/02/2024
