,Player,From,Fee,Date
"/img/countries/england.svg","Matty Cash","Notts. For","£16,000,000",03/09/2020
"/img/countries/england.svg","Ollie Watkins",Brentford,"£28,000,000",09/09/2020
"/img/countries/argentina.svg","Emiliano Martinez",Arsenal,"£20,000,000",16/09/2020
"/img/countries/burkina-faso.svg","Bertrand Traore",Lyon,"£17,000,000",19/09/2020
"/img/countries/england.svg","Ross Barkley",Chelsea,Loan,30/09/2020
"/img/countries/france.svg","Morgan Sanson",Marseille,"£14,000,000",26/01/2021
