,Player,To,Fee,Date
"/img/countries/england.svg",Marcus Rashford,Man. Utd,"End of Loan",30/06/2025
"/img/countries/france.svg",Axel Disasi,Chelsea,"End of Loan",30/06/2025
"/img/countries/spain.svg",Marco Asensio,PSG,"End of Loan",30/06/2025
"/img/countries/england.svg",Josh Feeney,Huddersfield,"Loan",01/07/2025
"/img/countries/england.svg",Kaine Kesler-Hayden,Coventry,"€4,000,000",01/07/2025
"/img/countries/brazil.svg",Philippe Coutinho,Vasco da Gama,"Free",04/07/2025
"/img/countries/sweden.svg",Robin Olsen,Malmo,"Free",08/07/2025
"/img/countries/poland.svg",Oliwier Zych,Raków Częstochowa,"Loan",14/07/2025
"/img/countries/serbia.svg",Kosta Nedeljković,RB Leipzig,"Loan",14/07/2025
"/img/countries/england.svg",Tommi O'Reilly,Crewe Alexander,"Loan",15/07/2025
"/img/countries/england.svg",Finley Munroe,Swindon,"Loan",15/07/2025
"/img/countries/netherlands.svg",Sil Swinkels,Exeter City,"Loan",17/07/2025
"/img/countries/argentina.svg",Enzo Barrenechea,Benfica,"Loan, fee €3.00m",18/07/2025
"/img/countries/england.svg",Louie Barry,Sheff. Utd,"Loan",22/07/2025
"/img/countries/poland.svg",Filip Marschall,Stevenage,"Undisc.",29/07/2025
"/img/countries/turkey.svg",Yasin Özcan,Anderlecht,"Loan",02/08/2025
"/img/countries/australia.svg",Joe Gauci,Port Vale,"Loan",11/08/2025
"/img/countries/scotland.svg",Kerr Smith,Barrow,"Loan",15/08/2025
"/img/countries/england.svg",Jacob Ramsey,Newcastle,"€45,150,000",17/08/2025
"/img/countries/belgium.svg",Leander Dendoncker,Real Oviedo,"Free",19/08/2025
"/img/countries/jamaica.svg",Leon Bailey,Roma,"Loan, fee €3.00m",20/08/2025
