,Player,To,Fee,Date
"/img/countries/england.svg","Matt Targett",Newcastle,"€17,500,000",01/07/2022
"/img/countries/croatia.svg","Lovre Kalinic","Hajduk Split",Free,01/07/2022
"/img/countries/england.svg","Dominic Revan",Barnet,Free,01/07/2022
"/img/countries/egypt.svg","Mahmoud Trezeguet",Trabzonspor,"€4,000,000",04/07/2022
"/img/countries/ireland.svg","Conor Hourihane",Derby,Free,06/07/2022
"/img/countries/england.svg","Finn Azaz",Plymouth,Loan,11/07/2022
"/img/countries/finland.svg","Viljami Sinisalo","Burton Albion",Loan,11/07/2022
"/img/countries/england.svg","Louis Barry","MK Dons",Loan,12/07/2022
"/img/countries/brazil.svg","Wesley","Levante",Loan,24/07/2022
"/img/countries/england.svg","Jaden Philogene-Bidace","Cardiff",Loan,26/07/2022
"/img/countries/england.svg","Carney Chukwuemeka",Chelsea,"€18,000,000",02/08/2022
"/img/countries/england.svg","Aaron Ramsey",Norwich,Loan,05/08/2022
"/img/countries/england.svg","Kaine Kesler-Hayden",Huddersfield,Loan,12/08/2022
"/img/countries/england.svg","Keinan Davis",Watford,Loan,13/08/2022
"/img/countries/burkina-faso.svg","Bertrand Traoré","Basaksehir",Loan,22/08/2022
"/img/countries/england.svg","Kortney Hause",Watford,Loan,22/08/2022
"/img/countries/england.svg","Ben Chrisene",Kilmarnock,Loan,25/08/2022
"/img/countries/netherlands.svg","Anwar El Ghazi","PSV Eindhoven",Loan,31/08/2022
"/img/countries/england.svg","Tim Iroegbunam",QPR,Loan,01/09/2022
"/img/countries/england.svg","Caleb Chukwuemeka","Crawley Town",Loan,01/09/2022
"/img/countries/england.svg","Cameron Archer","Middlesborough",Loan,06/01/2023
"/img/countries/france.svg","Frédéric Guilbert",Strasbourg,Free,13/01/2023
"/img/countries/england.svg","Danny Ings","West Ham","€12,000,000",20/01/2023
"/img/countries/france.svg","Morgan Sansom",Strasbourg,Loan,23/01/2023
"/img/countries/england.svg","Louis Barry","Salford",Loan,30/01/2023
"/img/countries/netherlands.svg","Lamar Bogarde","Bristol Rovers",Loan,31/01/2023
"/img/countries/england.svg","Indiana Vassilev","St. Louis City",Free,31/01/2023
"/img/countries/zimbabwe.svg","Marvelous Nakamba","Luton",Loan,31/01/2023
"/img/countries/england.svg","Aaron Ramsey",Middlesborough,Loan,31/01/2023
