,Player,To,Fee,Date
"/img/countries/spain.svg","Borja Baston","CD Leganes",Released,01/07/2020
"/img/countries/wales.svg","James Chester",Stoke,Released,01/07/2020
"/img/countries/ireland.svg","Jake Doyle-Hayes",,Released,01/07/2020
"/img/countries/england.svg","Andre Green",,Released,01/07/2020
"/img/countries/england.svg","Rushian Hepburn-Murphy",Pafos,Released,01/07/2020
"/img/countries/england.svg","Callum O'Hare",Coventry,Released,01/07/2020
"/img/countries/montenegro.svg","Matija Sarkic",Wolves,Released,01/07/2020
"/img/countries/ireland.svg","Jack Clarke",Yeovil,Loan,24/08/2020
"/img/countries/england.svg","James Bree",Luton,Undisc.,01/09/2020
"/img/countries/ireland.svg","Scott Hogan",Birmingham,Undisc.,16/09/2020
"/img/countries/united-states.svg","Indiana Vassilev","Burton Albion",Loan,17/09/2020
"/img/countries/tanzania.svg","Mbwana Samatta",Fenerbahce,Loan,25/09/2020
"/img/countries/spain.svg",Jota,,Released,03/09/2020
"/img/countries/norway.svg","Ørjan Nyland",,Released,05/09/2020
"/img/countries/croatia.svg","Lovre Kalinic","Hadjuk Split",Loan,18/01/2021
"/img/countries/ireland.svg","Conor Hourihane",Swansea,Loan,21/01/2021
"/img/countries/england.svg","Henri Lansbury",,Released,29/01/2021
"/img/countries/france.svg","Frederic Guilbert",Strasbourg,Loan,31/01/2021
