,Player,From,Fee,Date
"/img/countries/italy.svg","Pierluigi Gollini",Atalanta,"End of Loan",30/06/2018
"/img/countries/spain.svg","Carles Gil","Deportivo La Coruna","End of Loan",30/06/2018
"/img/countries/belgium.svg","Ritchie De Laet","Royal Antwerp","End of Loan",30/06/2018
"/img/countries/france.svg","Jordan Amavi",Marseille,"End of Loan",30/06/2018
"/img/countries/portugal.svg","Andre Moreira","Athletico Madrid",Loan,26/07/2018
"/img/countries/england.svg","Tammy Abraham",Chelsea,Loan,06/08/2018
"/img/countries/england.svg","Axel Tuanzebe","Man. Utd",Loan,06/08/2018
"/img/countries/norway.svg","Ørjan Nyland",Ingolstadt,"£2,700,000",07/08/2018
"/img/countries/scotland.svg","John McGinn",Hibernian,"£2,790,000",08/08/2018
"/img/countries/netherlands.svg","Anwar El Ghazi",Lille,"Loan Fee £1,800,000",22/08/2018
"/img/countries/democratic-republic-of-congo.svg","Yannick Bolasie",Everton,Loan,25/08/2018
"/img/countries/england.svg","Tommy Elphick","Hull City","End of Loan",29/12/2018
"/img/countries/england.svg","Jed Steer",Charlton,"End of Loan",31/12/2018
"/img/countries/croatia.svg","Lovre Kalinic",Gent	£5,400,000	01/01/2019
"/img/countries/scotland.svg","Ross McCormack","Central Coast","End of Loan",05/01/2019
"/img/countries/england.svg","Kortney Hause",Wolves,Loan,07/01/2019
"/img/countries/australia.svg","Jordan Lyden",Oldham,"End of Loan",07/01/2019
"/img/countries/england.svg","Andre Green",Portsmouth,"End of Loan",17/01/2019
"/img/countries/france.svg","Frederick Guilbert",Caen,"£4,500,000",31/01/2019
"/img/countries/england.svg","Tyrone Mings",Bournemouth,Loan,31/01/2019
"/img/countries/england.svg","Tom Carroll",Swansea,Loan,31/01/2019
"/img/countries/england.svg","Aaron Tshibola",Kilmarnock,"End of Loan",20/05/2019
"/img/countries/scotland.svg","Ross McCormack",Motherwell,"End of Loan",20/05/2019
"/img/countries/england.svg","James Bree",Ipswich,"End of Loan",31/05/2019
"/img/countries/england.svg","Rushian Hepburn-Murphy","Cambridge Utd","End of Loan",31/05/2019
"/img/countries/ireland.svg","Scott Hogan","Sheff Utd","End of Loan",31/05/2019
"/img/countries/england.svg","Calum O'Hare","Carlisle","End of Loan",31/05/2019
