,Player,From,Fee,Date
"/img/countries/argentina.svg","Emiliano Buendia",Norwich,"£34,500,000",10-Jun-21
"/img/countries/england.svg","Ashley Young","Inter Milan",Free,17-Jun-21
"/img/countries/england.svg","Josh Feeney",Fleetwood,Undisc.,06-Jul-21
"/img/countries/bermuda.svg","Ajani Burchall",Bournemouth,Undisc.,09-Jul-21
"/img/countries/england.svg","Finn Azaz","West Brom",Undisc.,25-Jul-21
"/img/countries/england.svg","Tim Iroegbunam","West Brom",Undisc.,29-Jul-21
"/img/countries/jamaica.svg","Leon Bailey","Bayer Leverkusen","£28,800,000",04-Aug-21
"/img/countries/england.svg","Danny Ings",Southampton,"£31,500,000",04-Aug-21
"/img/countries/england.svg","Axel Tuanzebe","Man. Utd",Loan,08-Aug-21
"/img/countries/england.svg","Caleb Chukwuemeka",Northampton,Undisc.,16-Aug-21
"/img/countries/brazil.svg","Philippe Coutinho",Barcelona,Loan,07-Jan-22
"/img/countries/france.svg","Lucas Digne",Everton,"£27,000,000",12-Jan-22
"/img/countries/scotland.svg","Kerr Smith","Dundee Utd",Undisc.,14-Jan-22
"/img/countries/sweden.svg","Robin Olsen","AS Roma",Loan,18-Jan-22
"/img/countries/england.svg","Calum Chambers",Arsenal,Free,27-Jan-22
