,Player,To,Fee,Date
"/img/countries/australia.svg","Mile Jedinak",,Released,01-Jun-19
"/img/countries/scotland.svg","Ross McCormack",,Released,01-Jun-19
"/img/countries/england.svg","Mark Bunn",,Released,01-Jun-19
"/img/countries/ireland.svg","Glenn Whelan",,Released,01-Jun-19
"/img/countries/england.svg","Micah Richards",,Released,01-Jun-19
"/img/countries/scotland.svg","Alan Hutton",,Released,01-Jun-19
"/img/countries/england.svg","Gary Gardener",Birmingham,"Undisc.",05-Jun-19
"/img/countries/england.svg","Tommy Elphick",Huddersfield,Free,15-Jun-19
"/img/countries/belgium.svg","Ritchie De Laet","Royal Antwerp",Free,01-Jul-19
"/img/countries/england.svg","Corey Taylor",Tranmere,Free,01-Jul-19
"/img/countries/montenegro.svg","Matija Sarkic",Livingston,Loan,01-Jul-19
"/img/countries/ghana.svg","Albert Adomah","Notts For.",Free,10-Jul-19
"/img/countries/wales.svg","Mitch Clark",Leicester,Free,26-Jul-19
"/img/countries/australia.svg","Jordan Lyden",Swindon,Free,26-Jul-19
"/img/countries/england.svg","Andre Green",Preston,Loan,01-Aug-19
"/img/countries/ireland.svg","Jake Doyle-Hayes",Cheltenham,Loan,01-Aug-19
"/img/countries/england.svg","Rushian Hepburn-Murphy",Tranmere,Loan,01-Aug-19
"/img/countries/ireland.svg","Scott Hogan",Stoke,Loan,07-Aug-19
"/img/countries/england.svg","James Bree",Luton,Loan,08-Aug-19
"/img/countries/iceland.svg","Birkir Bjarnason",,Released,08-Aug-19
"/img/countries/england.svg","Callum O'Hare",Coventry,Loan,22-Aug-19
"/img/countries/england.svg","Aaron Tshibola","Waasland-Beveren","Undisc.",30-Aug-19
"/img/countries/england.svg","Andre Green",Charlton,Loan,01-Jan-20
"/img/countries/croatia.svg","Lovre Kalinic",Toulouse,Loan,20-Jan-20
"/img/countries/ivory-coast.svg","Jonathan Kodjia",Al-Gharafa,"Undisc.",20-Jan-20
"/img/countries/england.svg","Easah Suliman","Vitória de Guimarães","Undisc.",20-Jan-20
"/img/countries/england.svg","Rushian Hepburn-Murphy",Derby,Loan,31-Jan-20
"/img/countries/ireland.svg","Scott Hogan",Birmingham,Loan,29-Jan-20
"/img/countries/wales.svg","James Chester",Stoke,Loan,31-Jan-20
