,Player,From,Fee,Date
"/img/countries/brazil.svg","Wesley Moraes","Levante","End of Loan",30/06/2023
"/img/countries/france.svg","Morgan Sansom","Strasbourg","End of Loan",30/06/2023
"/img/countries/belgium.svg","Youri Tielemans",Leicester,"Free",01/07/2023
"/img/countries/england.svg","Rico Richards","West Brom","Free",03/07/2023
"/img/countries/spain.svg","Pau Torres",Villarreal,"€33,000,000",12/07/2023
"/img/countries/france.svg","Moussa Diaby","Bayer Leverkusen","€55,000,000",22/07/2023
"/img/countries/italy.svg","Nicolò Zaniolo","Galatasaray","Loan Fee €5,000,000",18/08/2023
"/img/countries/italy.svg","Clément Lenglet","Barcelona","Loan",01/09/2023
"/img/countries/serbia.svg","Kosta Nedeljkovic","Red Star Belgrade","€7,600,000",22/01/2024
"/img/countries/england.svg","Morgan Rogers","Middlesborough","€9,400,000",01/02/2024
"/img/countries/australia.svg","Joe Gauci","Adelaide","€1,500,000",01/02/2024
"/img/countries/england.svg","Lino Sousa","Arsenal","€7,600,000",22/01/2024
"/img/countries/poland.svg","Filip Marschall","MK Dons","End of Loan",31/05/2024
"/img/countries/finland.svg","Viljami Sinisalo","Exeter City","End of Loan",31/05/2024
"/img/countries/england.svg","Lino Sousa","Plymouth","End of Loan",31/05/2024
